invocation_index,pass_index,query_index,asset_id,status,duration_ns,score,failure_category,failure_exception_type
83,0,83,synthetic/query/083,success,2506575659,0.05129095911979675,,
84,0,84,synthetic/query/084,success,3157016763,0.03946333006024361,,
85,0,85,synthetic/query/085,success,3229575758,0.03787878900766373,,
86,0,86,synthetic/query/086,success,2536404095,0.049794651567935944,,
87,0,87,synthetic/query/087,success,2760455962,0.0441737174987793,,
88,0,88,synthetic/query/088,success,2833248032,0.0521601140499115,,
89,0,89,synthetic/query/089,success,2470673461,0.046683650463819504,,
90,0,90,synthetic/query/090,success,2890367475,0.05058544874191284,,
91,0,91,synthetic/query/091,success,3084097923,0.050922103226184845,,
92,0,92,synthetic/query/092,success,3193068247,0.05282851308584213,,
93,0,93,synthetic/query/093,success,2976457235,0.04448831081390381,,
94,0,94,synthetic/query/094,success,2869154350,0.04207940772175789,,
95,0,95,synthetic/query/095,success,2863972767,0.055892907083034515,,
96,0,96,synthetic/query/096,success,2887780327,0.03994068503379822,,
97,0,97,synthetic/query/097,success,3125036111,0.043596528470516205,,
98,0,98,synthetic/query/098,success,3503680023,0.04820782691240311,,
99,0,99,synthetic/query/099,success,3650561698,0.05259469151496887,,
100,1,0,synthetic/query/000,success,3350649105,0.04563022404909134,,
101,1,1,synthetic/query/001,success,2697917100,0.04630249738693237,,
102,1,2,synthetic/query/002,success,3299851276,0.049615152180194855,,
103,1,3,synthetic/query/003,success,3377653268,0.0498291440308094,,
104,1,4,synthetic/query/004,success,3058977828,0.04466310143470764,,
105,1,5,synthetic/query/005,success,3724171676,0.05033985897898674,,
106,1,6,synthetic/query/006,success,2447997625,0.04234672337770462,,
107,1,7,synthetic/query/007,success,2758336645,0.04645366594195366,,
108,1,8,synthetic/query/008,success,2587452629,0.04377865791320801,,
109,1,9,synthetic/query/009,success,2272895650,0.04290775582194328,,
110,1,10,synthetic/query/010,success,2072717640,0.050016433000564575,,
111,1,11,synthetic/query/011,success,2381656526,0.04032260924577713,,
112,1,12,synthetic/query/012,success,2133346707,0.06431049853563309,,
113,1,13,synthetic/query/013,success,2082814305,0.03979041054844856,,
114,1,14,synthetic/query/014,success,2178504413,0.06260265409946442,,
115,1,15,synthetic/query/015,success,1989735665,0.07801494747400284,,
116,1,16,synthetic/query/016,success,2050690335,0.04516840726137161,,
117,1,17,synthetic/query/017,success,2232802144,0.04420027136802673,,
118,1,18,synthetic/query/018,success,2360703583,0.04007389023900032,,
119,1,19,synthetic/query/019,success,2134140221,0.045440882444381714,,
120,1,20,synthetic/query/020,success,2086336193,0.05141977593302727,,
121,1,21,synthetic/query/021,success,2438861265,0.037202704697847366,,
122,1,22,synthetic/query/022,success,2193102842,0.046642888337373734,,
123,1,23,synthetic/query/023,success,2185459583,0.05476828292012215,,
124,1,24,synthetic/query/024,success,2286279351,0.040813010185956955,,
125,1,25,synthetic/query/025,success,2301662016,0.0392955057322979,,
126,1,26,synthetic/query/026,success,2181391412,0.04803352802991867,,
127,1,27,synthetic/query/027,success,2331205842,0.05518406629562378,,
128,1,28,synthetic/query/028,success,2274587887,0.049858491867780685,,
129,1,29,synthetic/query/029,success,2177354043,0.049298178404569626,,
130,1,30,synthetic/query/030,success,2666254196,0.04603433609008789,,
131,1,31,synthetic/query/031,success,2625788977,0.04248649999499321,,
132,1,32,synthetic/query/032,success,2484763909,0.05431527644395828,,
133,1,33,synthetic/query/033,success,2583890870,0.03869582340121269,,
134,1,34,synthetic/query/034,success,2479507472,0.07321518659591675,,
135,1,35,synthetic/query/035,success,2462852537,0.04275467246770859,,
136,1,36,synthetic/query/036,success,2542958540,0.042938970029354095,,
137,1,37,synthetic/query/037,success,2330104582,0.04425101727247238,,
138,1,38,synthetic/query/038,success,2823645472,0.05236344784498215,,
139,1,39,synthetic/query/039,success,2448783789,0.04419035464525223,,
