contract_version,run_id,run_kind,method,pass_index,relative_path,duration_ns,score_status,score_failure_code
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/039.JPG,419570458,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/040.JPG,452055096,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/041.JPG,468828363,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/042.JPG,402062574,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/043.JPG,393027550,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/044.JPG,416353096,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/045.JPG,411776265,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/046.JPG,441930703,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/047.JPG,402675537,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/048.JPG,404408352,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/049.JPG,384716198,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/050.JPG,426690563,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/051.JPG,440736188,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/052.JPG,411463913,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/053.JPG,398084803,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/054.JPG,528568664,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/055.JPG,547833021,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/056.JPG,448063627,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/057.JPG,527141198,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/058.JPG,426197060,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/059.JPG,484952495,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/060.JPG,419577347,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/061.JPG,395963125,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/062.JPG,444435245,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/063.JPG,454451724,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/064.JPG,452570938,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/065.JPG,404305236,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/066.JPG,413855209,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/067.JPG,503396854,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/068.JPG,517319810,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/069.JPG,545099155,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/070.JPG,436846975,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/071.JPG,430238164,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/072.JPG,446604089,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/073.JPG,417250181,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/074.JPG,448466607,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/075.JPG,414434524,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/076.JPG,409214310,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/077.JPG,391171709,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/078.JPG,417726187,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/079.JPG,421952735,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/080.JPG,445674613,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/081.JPG,408853288,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/082.JPG,425225067,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/083.JPG,440958464,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/084.JPG,400965268,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/085.JPG,426297088,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/086.JPG,457936411,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/087.JPG,481730253,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/088.JPG,468375267,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/089.JPG,415403838,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/090.JPG,463236527,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/091.JPG,436755665,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/092.JPG,457239695,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/093.JPG,406901907,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/094.JPG,396453035,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/095.JPG,423736793,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/096.JPG,429067587,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/097.JPG,433476981,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/098.JPG,444818904,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Anomaly/099.JPG,417008263,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0011.JPG,480053073,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0013.JPG,700318068,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0016.JPG,788169501,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0024.JPG,764784567,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0026.JPG,522601442,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0027.JPG,486359464,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0046.JPG,462054267,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0100.JPG,461188720,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0107.JPG,435670374,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0159.JPG,461922019,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0168.JPG,400473783,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0170.JPG,397012423,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0172.JPG,441425164,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0174.JPG,426150701,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0178.JPG,446196474,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0187.JPG,404453260,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0196.JPG,423865627,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0208.JPG,414193776,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0214.JPG,463018103,ok,
